Cycle #,Bulk time (m),Absorption time (m),Recondition time (m),Float time (m),Storage time (m),Bulk charge (Ah),Absorption charge (Ah),Recondition charge (Ah),Float charge (Ah),Storage charge (Ah),Start voltage (V),End voltage (V),Battery Type,Termination reason,Error
0,107,120,0,0,1037,35.6,7.1,0.0,0.0,33.2,13.74,14.20,li-ion,Completed,#0 No error
1,1,120,0,0,20668,0.1,3.1,0.0,0.0,404.3,14.06,14.20,li-ion,Completed,#0 No error
2,1,120,0,0,3164,0.4,3.2,0.0,0.0,60.8,13.91,14.22,li-ion,Completed,#0 No error
3,0,120,0,0,44284,0.1,3.5,0.0,0.0,782.5,14.07,14.21,li-ion,Completed,#0 No error
4,2,120,0,0,11731,0.8,3.5,0.0,0.0,289.1,13.76,14.20,li-ion,Completed,#0 No error
5,1,120,0,0,15367,0.2,3.0,0.0,0.0,351.8,14.01,14.20,li-ion,Completed,#0 No error
6,0,120,0,0,11495,0.1,3.0,0.0,0.0,284.6,14.06,14.20,li-ion,Completed,#0 No error
7,0,120,0,0,4099,0.0,4.6,0.0,0.0,112.9,14.19,14.21,li-ion,Completed,#0 No error
8,0,67,0,0,0,0.0,2.5,0.0,0.0,0.0,14.19,14.21,li-ion,Interrupted,#0 No error
9,0,56,0,0,0,0.1,1.9,0.0,0.0,0.0,14.19,14.20,li-ion,Interrupted,#0 No error
10,0,57,0,0,0,0.0,2.5,0.0,0.0,0.0,14.20,14.20,li-ion,Interrupted,#0 No error
11,36,13,0,0,0,12.1,1.0,0.0,0.0,0.0,13.69,14.21,li-ion,Interrupted,#0 No error
12,0,120,0,0,1099,0.0,0.2,0.0,0.0,0.4,14.05,14.20,li-ion,Completed,#0 No error
13,1,16,0,0,0,0.2,0.2,0.0,0.0,0.0,13.95,14.20,li-ion,Interrupted,#0 No error
14,1,0,0,0,0,0.4,0.0,0.0,0.0,0.0,13.86,14.29,li-ion,AC discon.,#0 No error
15,0,31,0,0,0,0.0,0.5,0.0,0.0,0.0,14.17,14.20,li-ion,AC discon.,#0 No error
16,0,44,0,0,0,0.0,1.1,0.0,0.0,0.0,14.19,14.20,li-ion,Interrupted,#0 No error
17,0,40,0,0,0,0.0,1.3,0.0,0.0,0.0,14.34,14.20,li-ion,Interrupted,#0 No error
18,2,0,0,0,0,0.5,0.0,0.0,0.0,0.0,13.88,,normal,Interrupted,#0 No error
19,16,1,0,0,0,5.3,0.0,0.0,0.0,0.0,13.74,14.61,normal,Interrupted,#0 No error
20,0,30,0,240,459,0.1,0.0,0.0,0.5,0.3,14.04,14.47,normal,Completed,#0 No error
21,90,2,0,0,0,29.8,0.4,0.0,0.0,0.0,13.65,,normal,Interrupted,#0 No error
22,108,0,0,0,0,35.9,0.0,0.0,0.0,0.0,13.52,,normal,AC discon.,#0 No error
