Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,9/29/25,0,0,0.00,0.01,13.46,13.52,0,0,0,0,0,0,0
1,9/28/25,0,10,0.00,0.01,13.16,14.22,0,0,0,0,0,0,0
2,9/27/25,0,0,0.00,0.01,13.14,14.20,0,0,0,0,0,0,0
3,9/26/25,0,20,0.00,0.01,13.03,13.57,0,0,0,0,0,0,0
4,9/25/25,0,30,0.00,0.01,13.27,13.29,0,0,0,0,0,0,0
5,9/24/25,0,0,0.00,0.01,13.27,13.29,0,0,0,0,0,0,0
6,9/23/25,0,10,0.00,0.01,13.27,13.29,0,0,0,0,0,0,0
7,9/22/25,0,0,0.00,0.01,13.27,13.29,0,0,0,0,0,0,0
8,9/21/25,0,10,0.00,0.01,13.27,13.29,0,0,0,0,0,0,0
9,9/20/25,0,10,0.00,0.01,13.29,13.29,0,0,0,0,0,0,0
10,9/19/25,0,30,0.00,0.01,13.29,13.29,0,0,0,0,0,0,0
11,9/18/25,0,10,0.00,0.01,13.29,13.29,0,0,0,0,0,0,0
12,9/17/25,0,10,0.00,0.01,13.29,13.31,0,0,0,0,0,0,0
13,9/16/25,0,10,0.00,0.01,13.29,13.31,0,0,0,0,0,0,0
14,9/15/25,0,10,0.00,0.01,13.30,13.31,0,0,0,0,0,0,0
15,9/14/25,0,30,0.00,0.01,13.18,13.31,0,0,0,0,0,0,0
16,9/13/25,0,30,0.00,0.01,13.03,14.22,0,0,0,0,0,0,0
17,9/12/25,0,20,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
18,9/11/25,0,20,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
19,9/10/25,0,20,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
20,9/9/25,0,40,0.00,0.01,13.46,13.52,0,0,0,0,0,0,0
21,9/8/25,0,30,0.00,0.01,13.47,13.52,0,0,0,0,0,0,0
22,9/7/25,0,20,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
23,9/6/25,0,20,0.00,0.01,13.48,14.22,0,0,0,0,0,0,0
24,9/5/25,0,30,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
25,9/4/25,0,10,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
26,9/3/25,0,30,0.00,0.01,13.47,13.52,0,0,0,0,0,0,0
27,9/2/25,0,20,0.00,0.01,13.47,13.52,0,0,0,0,0,0,0
28,9/1/25,0,30,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
29,8/31/25,0,20,0.00,0.01,13.48,13.52,0,0,0,0,0,0,0
30,8/30/25,0,20,0.00,0.01,13.48,14.22,0,0,0,0,0,0,0
